RowNumber,CustomerId,CreditScore,GeographyID,GenderID,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Bank DOJ
2380,15625904.0,624,1,1,26,5,74681.9,2,0,0,31231.35,0,2018-08-17 00:00:00
2381,15654463.0,841,1,1,34,4,0.0,2,1,0,141582.66,0,2019-07-25 00:00:00
2382,15774151.0,614,2,2,41,5,179915.85,1,0,0,14666.35,1,2018-05-05 00:00:00
2383,15693259.0,676,1,1,30,5,128207.23,1,1,1,55400.17,0,2018-09-14 00:00:00
2384,15642468.0,697,1,1,42,7,132739.26,2,0,0,174667.65,0,2016-07-01 00:00:00
2385,15758531.0,732,1,2,40,5,0.0,2,1,0,154189.08,0,2018-05-31 00:00:00
2386,15728352.0,623,1,1,27,6,120509.81,1,0,0,142170.44,0,2016-11-17 00:00:00
2387,15637240.0,541,1,1,46,4,124547.13,2,1,0,94499.06,0,2019-02-28 00:00:00
2388,15595588.0,773,2,2,39,5,0.0,2,0,1,182081.45,0,2017-11-18 00:00:00
2389,15778395.0,762,3,1,34,3,88815.56,2,1,0,68562.26,1,2019-11-30 00:00:00
2390,15711825.0,655,2,2,35,7,82231.51,2,1,0,88798.02,0,2016-08-27 00:00:00
2391,15599251.0,602,3,1,32,3,184715.86,2,1,0,113781.99,0,2019-11-18 00:00:00
2392,15570004.0,850,1,1,31,6,0.0,2,1,0,121866.87,0,2016-11-11 00:00:00
2393,15656912.0,649,2,1,51,6,0.0,1,1,1,150390.57,0,2017-05-18 00:00:00
2394,15657342.0,850,3,1,28,5,147972.19,1,1,0,60708.72,1,2018-05-29 00:00:00
2395,15716284.0,543,1,1,43,3,0.0,2,1,1,78858.07,0,2019-10-11 00:00:00
2396,15672374.0,672,1,1,52,3,170008.84,1,0,0,56407.42,1,2019-11-27 00:00:00
2397,15732476.0,600,1,2,27,4,0.0,2,0,1,125698.97,0,2018-12-12 00:00:00
2398,15747724.0,671,2,2,34,4,0.0,1,1,0,23235.38,0,2019-07-26 00:00:00
2399,15633877.0,706,2,2,42,4,95386.82,1,1,1,75732.25,0,2018-11-12 00:00:00
2400,15672516.0,541,3,1,51,5,90373.28,2,1,0,179861.79,0,2017-12-12 00:00:00
2401,15607827.0,711,3,1,34,6,133467.77,2,1,1,42976.64,0,2016-12-22 00:00:00
2402,15751336.0,630,2,1,30,4,0.0,2,0,1,10486.69,0,2019-03-28 00:00:00
2403,15646539.0,531,1,1,31,3,96288.26,1,1,0,56794.73,0,2019-12-03 00:00:00
2404,15756901.0,641,1,2,26,3,91547.84,2,0,1,28157.34,0,2019-10-09 00:00:00
2405,15809286.0,631,3,1,37,6,138292.64,2,0,0,152422.91,1,2016-11-24 00:00:00
2406,15759021.0,685,1,1,35,4,0.0,1,1,0,167033.83,0,2019-03-05 00:00:00
2407,15725039.0,702,2,1,32,6,71667.74,1,1,1,126082.18,0,2017-07-12 00:00:00
2408,15579130.0,708,3,2,43,4,118994.84,1,1,0,181499.77,1,2019-08-24 00:00:00
2409,15754112.0,653,2,1,55,6,0.0,2,1,1,41967.03,0,2017-04-29 00:00:00
2410,15735522.0,654,3,1,37,4,145610.07,2,0,0,186300.59,0,2019-05-18 00:00:00
2411,15613326.0,596,1,2,33,3,138162.81,1,1,0,85412.54,0,2019-11-14 00:00:00
2412,15739502.0,549,3,2,31,3,135020.21,2,1,1,23343.18,0,2019-12-27 00:00:00
2413,15670914.0,754,1,1,38,4,0.0,2,1,0,180698.32,0,2019-05-20 00:00:00
2414,15604073.0,815,3,2,25,7,135161.67,1,1,1,136071.05,0,2016-07-05 00:00:00
2415,15806027.0,556,1,2,52,3,0.0,1,1,0,175149.2,1,2019-11-30 00:00:00
2416,15574886.0,706,1,1,32,4,94486.47,1,1,1,146949.74,0,2019-05-04 00:00:00
2417,15707120.0,850,1,1,46,4,117640.39,1,1,0,88920.68,0,2019-05-01 00:00:00
2418,15800845.0,732,2,2,33,3,111379.55,1,1,1,45098.62,0,2019-11-20 00:00:00
2419,15603914.0,614,1,1,40,4,0.0,1,1,1,20339.79,1,2019-08-12 00:00:00
2420,15722765.0,580,2,2,57,5,136820.99,1,0,1,108528.74,0,2018-07-18 00:00:00
2421,15783305.0,593,1,2,46,5,98752.51,1,1,0,145560.38,0,2018-06-19 00:00:00
2422,15574842.0,653,3,2,25,3,158266.42,3,1,1,199357.24,0,2019-09-26 00:00:00
2423,15607837.0,746,1,2,29,3,105599.67,1,1,1,43106.17,0,2019-12-05 00:00:00
2424,15714877.0,662,1,2,29,5,0.0,2,1,0,137508.31,0,2017-12-13 00:00:00
2425,15782941.0,573,1,1,31,4,0.0,2,1,1,91957.39,0,2019-04-11 00:00:00
2426,15630167.0,684,2,2,39,7,139723.9,1,1,1,120612.11,0,2016-08-13 00:00:00
2427,15759038.0,793,1,2,41,3,141806.46,1,1,0,102921.17,0,2019-11-23 00:00:00
2428,15661821.0,798,3,2,49,7,132571.67,1,1,1,31686.33,1,2016-08-05 00:00:00
2429,15728006.0,524,1,1,40,7,180516.9,1,1,0,180002.42,0,2016-03-25 00:00:00
2430,15712176.0,816,1,1,31,6,0.0,2,1,1,28407.4,0,2016-12-28 00:00:00
2431,15689351.0,742,3,2,41,4,92805.72,1,0,1,73743.95,1,2019-04-04 00:00:00
2432,15782247.0,540,1,1,22,4,0.0,3,1,1,186233.26,1,2019-04-22 00:00:00
2433,15769064.0,537,3,1,39,4,135309.36,1,1,0,31728.86,1,2019-09-19 00:00:00
2434,15718153.0,759,2,2,74,3,128917.84,1,1,1,48244.64,0,2019-12-27 00:00:00
2435,15613189.0,774,1,2,52,4,56580.93,1,1,0,113266.28,1,2019-09-08 00:00:00
2436,15661734.0,608,3,1,42,3,131390.75,2,1,0,71178.09,0,2019-10-08 00:00:00
2437,15592645.0,704,2,1,37,6,0.0,2,0,0,25684.93,0,2017-01-01 00:00:00
2438,15768387.0,581,1,1,41,6,0.0,2,0,0,29737.14,0,2017-06-28 00:00:00
2439,15792525.0,628,3,2,61,4,97361.66,1,1,1,149922.38,1,2018-11-06 00:00:00
2440,15586976.0,566,1,2,42,7,0.0,1,1,0,180702.12,1,2016-04-18 00:00:00
2441,15790659.0,701,2,1,59,4,0.0,2,0,1,27597.59,0,2018-11-17 00:00:00
2442,15691446.0,735,2,1,29,6,0.0,2,1,1,95025.27,0,2016-12-26 00:00:00
2443,15772632.0,680,1,2,34,5,0.0,2,1,0,167035.07,0,2018-09-05 00:00:00
2444,15706587.0,560,1,1,57,4,0.0,2,0,1,116781.71,0,2019-09-02 00:00:00
2445,15572461.0,663,3,2,29,3,102714.65,2,0,0,21170.81,0,2019-11-11 00:00:00
2446,15654409.0,665,1,2,34,4,67816.72,1,1,1,29641.58,0,2019-02-23 00:00:00
2447,15568025.0,758,1,1,51,5,81710.46,1,1,1,116520.07,0,2018-07-11 00:00:00
2448,15715769.0,621,1,1,26,4,75237.54,1,0,1,44220.4,0,2019-06-12 00:00:00
2449,15667458.0,764,3,1,28,3,124023.18,1,1,0,166188.28,0,2019-12-15 00:00:00
2450,15567980.0,537,3,2,46,4,100727.5,1,0,1,140857.76,1,2019-07-06 00:00:00
2451,15679294.0,589,1,2,46,6,107238.85,2,1,0,37024.28,0,2016-12-10 00:00:00
2452,15606507.0,555,1,1,24,4,0.0,2,1,0,27513.47,0,2019-03-18 00:00:00
2453,15578825.0,734,1,2,29,3,139994.66,1,1,0,17744.72,0,2019-12-12 00:00:00
2454,15619935.0,783,2,2,59,5,126224.87,1,1,1,4423.63,0,2018-05-06 00:00:00
2455,15636089.0,678,3,2,51,5,145751.03,1,0,0,109718.44,1,2017-11-18 00:00:00
2456,15727490.0,661,1,1,47,6,0.0,1,0,1,107243.31,1,2016-10-15 00:00:00
2457,15591766.0,607,2,2,25,7,121166.89,1,0,1,115288.24,0,2016-09-01 00:00:00
2458,15641629.0,537,2,2,38,4,0.0,2,0,1,41233.97,0,2019-09-11 00:00:00
2459,15813303.0,513,2,1,88,7,0.0,2,1,1,52952.24,0,2016-07-08 00:00:00
2460,15756920.0,576,1,1,63,3,70655.48,1,0,0,78955.8,1,2019-11-30 00:00:00
2461,15726403.0,660,3,1,41,6,129901.21,1,1,0,26025.6,1,2017-05-05 00:00:00
2462,15592765.0,637,1,1,40,6,125470.81,1,1,1,174536.17,0,2016-11-25 00:00:00
2463,15704442.0,672,1,2,53,7,169406.33,4,1,1,147311.47,1,2016-06-20 00:00:00
2464,15641136.0,629,1,1,32,6,0.0,2,0,1,77965.44,0,2017-08-08 00:00:00
2465,15725818.0,583,3,1,40,4,107041.3,1,1,1,5635.63,0,2019-01-02 00:00:00
2466,15612071.0,763,2,2,32,4,95153.77,1,0,1,81310.1,0,2019-01-18 00:00:00
2467,15719809.0,516,3,1,32,4,145166.09,2,0,0,111421.45,0,2018-12-08 00:00:00
2468,15716518.0,617,1,2,27,3,0.0,2,0,0,190269.21,0,2019-09-26 00:00:00
2469,15742210.0,700,1,1,38,6,65962.63,1,1,1,100950.48,0,2017-03-31 00:00:00
2470,15630617.0,727,3,1,36,5,140418.81,1,1,1,113033.73,1,2017-12-30 00:00:00
2471,15720838.0,689,2,2,31,5,139799.63,1,0,1,120663.57,0,2017-12-17 00:00:00
2472,15595537.0,626,3,1,49,5,171787.84,2,1,0,187192.23,0,2017-12-31 00:00:00
2473,15623196.0,686,1,1,38,6,149238.97,1,1,1,97825.23,0,2016-09-29 00:00:00
2474,15679249.0,351,3,2,57,6,163146.46,1,1,0,169621.69,1,2016-10-25 00:00:00
2475,15693199.0,739,1,2,37,5,0.0,2,1,0,191557.1,1,2018-05-13 00:00:00
2476,15661219.0,627,1,1,32,4,0.0,2,1,0,103287.62,0,2019-03-25 00:00:00
2477,15617136.0,451,3,2,38,6,61482.47,1,1,1,167538.66,0,2017-04-17 00:00:00
2478,15760294.0,512,1,2,41,7,145150.28,1,1,0,64869.32,1,2016-08-16 00:00:00
2479,15652808.0,774,1,2,41,4,126670.37,1,1,0,102426.06,0,2019-04-01 00:00:00
2480,15657139.0,652,1,2,40,6,84390.8,2,0,1,107876.2,0,2016-12-21 00:00:00
2481,15803790.0,638,3,1,37,5,89728.86,2,1,1,37294.88,0,2018-05-31 00:00:00
2482,15764105.0,475,1,2,57,5,0.0,2,1,0,89248.99,0,2018-08-13 00:00:00
2483,15672610.0,567,2,1,40,4,118628.8,1,0,0,91973.63,0,2019-03-26 00:00:00
2484,15766896.0,750,1,1,37,3,0.0,2,1,0,16870.2,0,2019-09-29 00:00:00
2485,15587735.0,850,1,1,39,4,96863.13,1,1,1,121681.19,0,2019-01-25 00:00:00
2486,15659501.0,753,1,2,38,5,142263.45,1,0,1,33730.43,0,2017-11-02 00:00:00
2487,15745001.0,683,2,2,36,6,0.0,2,1,0,104786.59,0,2017-09-15 00:00:00
2488,15651140.0,710,1,2,32,3,0.0,1,1,0,94790.34,0,2019-10-24 00:00:00
2489,15571148.0,645,2,2,21,4,0.0,2,0,0,28726.07,0,2019-02-07 00:00:00
2490,15776824.0,714,1,1,28,4,122724.37,1,1,1,67057.27,0,2019-07-26 00:00:00
2491,15633141.0,696,3,2,35,6,174902.26,1,1,0,69079.85,0,2016-12-12 00:00:00
2492,15764174.0,612,2,2,26,4,0.0,2,1,1,179780.74,0,2019-08-23 00:00:00
2493,15778155.0,520,3,2,31,4,108914.17,1,1,1,183572.39,1,2019-03-13 00:00:00
2494,15715920.0,782,2,1,23,4,98052.66,1,1,1,142587.32,0,2019-05-13 00:00:00
2495,15671917.0,666,1,1,46,7,123873.19,1,1,1,177844.06,0,2016-09-13 00:00:00
2496,15666548.0,466,3,2,56,5,111920.13,3,1,0,197634.11,1,2017-09-23 00:00:00
2497,15625623.0,567,1,2,45,5,0.0,2,0,1,121053.19,0,2018-09-02 00:00:00
2498,15748123.0,613,1,1,20,4,0.0,2,1,1,149613.77,0,2018-10-03 00:00:00
2499,15648735.0,718,1,1,37,4,0.0,2,1,1,142.81,0,2019-01-18 00:00:00
2500,15634974.0,614,1,2,37,3,75150.34,4,0,1,131766.67,1,2019-10-20 00:00:00
2501,15713378.0,711,1,1,38,6,0.0,2,0,0,53311.78,0,2017-07-31 00:00:00
2502,15753370.0,691,3,2,38,6,114753.76,1,1,0,107665.02,0,2017-04-28 00:00:00
2503,15782659.0,527,1,1,32,4,0.0,1,1,0,109523.88,0,2018-11-08 00:00:00
2504,15583364.0,476,1,2,32,3,111871.93,1,0,0,112132.86,0,2019-10-01 00:00:00
2505,15625942.0,619,2,2,45,6,0.0,2,0,0,113645.4,0,2017-03-20 00:00:00
2506,15720284.0,607,3,2,37,6,135927.06,1,0,0,180890.4,0,2017-09-15 00:00:00
2507,15679642.0,695,2,1,44,4,0.0,2,1,1,70974.13,0,2019-01-04 00:00:00
2508,15628007.0,653,1,1,33,5,0.0,2,0,0,53379.52,0,2017-10-17 00:00:00
2509,15661974.0,677,1,1,46,4,57037.74,1,1,1,158531.01,0,2018-12-11 00:00:00
2510,15689341.0,655,1,2,50,6,0.0,4,1,0,179267.94,1,2017-09-18 00:00:00
2511,15607993.0,625,1,2,52,3,79468.96,1,1,1,84606.03,0,2019-11-24 00:00:00
2512,15693267.0,679,3,2,34,6,121063.85,1,1,0,56984.58,0,2017-05-04 00:00:00
2513,15769522.0,734,1,1,51,7,118537.47,1,1,1,116912.45,0,2016-01-05 00:00:00
2514,15755825.0,666,1,1,39,5,0.0,2,1,0,102999.33,0,2018-08-17 00:00:00
2515,15598175.0,592,3,2,26,5,105082.07,2,1,0,132801.57,0,2018-06-18 00:00:00
2516,15744327.0,564,1,1,40,4,0.0,1,1,0,85455.62,1,2019-05-29 00:00:00
2517,15798666.0,814,1,2,36,7,0.0,2,1,1,98657.01,0,2016-05-27 00:00:00
2518,15577064.0,592,3,1,36,5,104702.65,2,1,0,107948.72,0,2018-06-15 00:00:00
2519,15759436.0,758,1,2,50,6,95813.76,3,1,1,67944.09,1,2017-05-28 00:00:00
2520,15690231.0,612,2,2,62,4,167026.61,2,1,1,192892.05,0,2018-11-09 00:00:00
2521,15751561.0,498,3,1,61,4,102453.26,1,1,0,187247.56,1,2019-01-23 00:00:00
2522,15739068.0,638,3,1,25,4,148045.45,2,1,1,114722.42,0,2019-03-27 00:00:00
2523,15758056.0,558,1,1,35,4,0.0,2,0,0,111687.57,0,2018-11-27 00:00:00
2524,15742269.0,756,1,2,24,5,0.0,2,1,0,184182.25,0,2018-09-10 00:00:00
2525,15726490.0,782,2,1,52,6,0.0,1,1,1,52759.82,1,2017-09-15 00:00:00
2526,15738411.0,505,1,1,34,6,104498.79,1,0,1,126451.14,0,2016-12-28 00:00:00
2527,15727919.0,671,2,2,29,4,0.0,2,0,0,12048.67,0,2019-08-11 00:00:00
2528,15709396.0,801,1,1,42,5,0.0,2,1,1,95804.33,0,2018-03-13 00:00:00
2529,15654106.0,604,1,1,26,5,149542.52,2,0,1,197911.52,0,2017-11-09 00:00:00
2530,15621653.0,716,1,2,29,4,87946.39,1,1,1,182531.74,0,2019-02-05 00:00:00
2531,15598086.0,624,1,2,45,4,68639.57,1,1,0,168002.31,1,2019-05-10 00:00:00
2532,15752300.0,607,3,1,47,7,148826.32,1,1,1,79450.61,0,2016-06-25 00:00:00
2533,15658693.0,827,1,2,60,5,0.0,2,0,1,60615.83,0,2017-11-27 00:00:00
2534,15631838.0,606,1,1,61,6,108166.09,2,0,1,8643.21,0,2017-04-28 00:00:00
2535,15803804.0,717,3,2,35,4,103214.71,1,1,0,172172.7,0,2019-03-10 00:00:00
2536,15578809.0,651,3,1,40,3,134760.21,2,0,0,174434.06,1,2019-10-10 00:00:00
2537,15752026.0,691,1,1,58,5,0.0,1,0,1,194930.3,1,2017-12-11 00:00:00
2538,15723706.0,573,1,2,33,4,90124.64,1,1,0,137476.71,0,2019-03-29 00:00:00
2539,15752838.0,723,2,1,38,3,0.0,2,1,1,94415.6,0,2019-11-21 00:00:00
2540,15569571.0,584,3,2,46,3,87361.02,2,1,0,120376.87,1,2019-11-19 00:00:00
2541,15769703.0,550,3,2,45,4,111257.59,1,0,0,97623.42,1,2019-06-10 00:00:00
2542,15679770.0,611,1,2,61,4,131583.59,4,0,1,66238.23,1,2019-04-20 00:00:00
2543,15791102.0,549,3,1,41,7,95020.8,3,1,1,131710.59,1,2016-04-04 00:00:00
2544,15655192.0,850,2,2,24,4,0.0,2,0,1,69052.87,0,2018-12-07 00:00:00
2545,15709487.0,668,3,1,34,4,80242.37,2,0,0,56780.97,0,2019-04-04 00:00:00
2546,15687130.0,686,1,2,43,5,0.0,1,1,1,170072.9,0,2018-04-25 00:00:00
2547,15755178.0,660,1,1,50,5,0.0,3,1,1,191849.15,1,2017-11-05 00:00:00
2548,15634772.0,682,2,2,59,3,122661.39,1,0,1,84803.76,0,2019-12-10 00:00:00
2549,15617197.0,524,1,1,50,4,0.0,2,1,1,31840.59,1,2018-11-30 00:00:00
2550,15631240.0,645,1,2,36,4,0.0,2,1,1,12096.61,1,2019-07-05 00:00:00
2551,15784301.0,850,1,1,42,3,0.0,2,1,0,44165.84,0,2019-10-17 00:00:00
2552,15631310.0,537,1,2,53,7,0.0,1,1,1,91406.62,0,2016-03-12 00:00:00
2553,15756560.0,599,2,2,46,6,81742.84,2,1,0,83282.21,0,2017-06-30 00:00:00
2554,15732270.0,727,2,1,71,5,0.0,1,1,1,198446.91,1,2017-12-19 00:00:00
2555,15739357.0,756,2,1,30,4,145127.85,1,0,0,7554.68,0,2019-06-03 00:00:00
2556,15771540.0,755,1,1,38,6,148912.44,1,1,0,80416.16,0,2016-10-03 00:00:00
2557,15567486.0,634,2,2,41,6,0.0,2,1,1,164549.74,0,2017-09-22 00:00:00
2558,15714634.0,837,1,1,26,4,89900.24,2,1,0,175477.03,0,2019-02-14 00:00:00
2559,15727021.0,727,3,2,30,4,119027.28,2,1,1,137903.54,0,2018-11-15 00:00:00
2560,15650670.0,567,3,2,40,6,105222.86,2,1,0,93795.86,0,2017-02-16 00:00:00
2561,15711834.0,650,2,2,30,5,0.0,1,0,0,67997.13,1,2018-04-22 00:00:00
2562,15729763.0,655,2,1,34,5,116114.93,1,1,1,49492.15,0,2017-11-01 00:00:00
2563,15646566.0,763,1,2,58,4,187911.55,1,0,1,35825.18,0,2019-08-22 00:00:00
2564,15645463.0,843,1,2,27,5,0.0,2,1,1,67494.23,0,2018-03-16 00:00:00
2565,15672144.0,667,1,2,38,4,144432.04,1,1,1,73963.17,1,2018-09-30 00:00:00
2566,15596088.0,705,1,2,50,7,77065.9,2,0,1,145159.26,0,2016-05-30 00:00:00
2567,15614878.0,660,3,2,29,7,180520.29,1,1,1,123850.58,0,2016-06-24 00:00:00
2568,15635240.0,553,1,1,42,6,0.0,2,0,0,23822.04,0,2017-05-16 00:00:00
2569,15775905.0,612,3,2,47,5,130024.87,1,1,1,45750.21,1,2018-06-29 00:00:00
2570,15700657.0,641,3,2,40,4,110086.69,1,1,0,159773.14,0,2019-09-08 00:00:00
2571,15611905.0,513,2,2,31,3,174853.46,1,1,0,84238.63,0,2019-11-11 00:00:00
2572,15652527.0,680,1,1,44,6,108724.98,1,0,1,72330.46,0,2017-06-25 00:00:00
2573,15785865.0,711,1,1,58,6,91285.13,2,1,1,26767.85,0,2016-10-15 00:00:00
2574,15645942.0,689,2,1,40,3,0.0,2,1,1,164768.82,0,2019-12-18 00:00:00
2575,15688691.0,665,3,2,51,6,110610.41,2,0,1,1112.76,1,2017-05-17 00:00:00
2576,15592736.0,551,3,1,54,6,102994.04,1,1,0,176680.16,1,2017-09-08 00:00:00
2577,15673529.0,645,2,1,36,7,59893.85,2,1,0,43999.64,0,2016-04-07 00:00:00
2578,15724145.0,616,3,1,29,7,149318.55,1,1,0,140746.13,0,2016-09-10 00:00:00
2579,15704629.0,582,1,2,32,4,116409.55,1,0,1,152790.92,0,2019-08-22 00:00:00
2580,15597896.0,365,3,1,30,4,127760.07,1,1,0,81537.85,1,2018-10-24 00:00:00
2581,15731790.0,697,3,2,38,7,132591.36,1,1,1,7387.8,1,2016-08-11 00:00:00
2582,15634719.0,704,1,1,31,7,0.0,2,1,0,183038.33,0,2016-09-13 00:00:00
2583,15703205.0,656,1,2,46,6,113402.14,2,1,1,138849.06,0,2017-03-23 00:00:00
2584,15567333.0,712,1,2,31,6,0.0,2,1,0,170333.38,0,2017-08-05 00:00:00
2585,15754537.0,748,1,1,40,4,0.0,1,0,0,60416.76,0,2019-03-13 00:00:00
2586,15612030.0,724,1,1,28,4,0.0,2,1,1,100240.2,0,2019-05-11 00:00:00
2587,15573242.0,691,1,1,50,3,136953.47,1,1,1,2704.98,0,2019-11-02 00:00:00
2588,15601892.0,563,1,1,33,6,0.0,2,0,1,68815.05,0,2017-04-19 00:00:00
2589,15663885.0,741,1,1,32,6,0.0,1,1,1,64839.23,0,2017-09-18 00:00:00
2590,15701096.0,778,1,1,44,4,123863.64,1,1,0,144494.94,0,2019-03-22 00:00:00
2591,15710450.0,848,2,1,22,5,120811.89,1,1,1,185510.34,0,2018-05-11 00:00:00
2592,15790846.0,634,3,1,38,4,148430.55,1,1,1,56055.72,0,2019-04-18 00:00:00
2593,15658956.0,505,3,1,40,3,47869.69,2,1,1,155061.97,0,2019-09-25 00:00:00
2594,15755223.0,692,3,1,53,3,150926.99,2,0,0,119817.19,0,2019-12-25 00:00:00
2595,15787318.0,537,3,2,47,6,103163.35,1,1,0,16259.64,1,2016-12-01 00:00:00
2596,15737310.0,633,1,1,29,5,130206.28,1,1,0,184654.87,0,2018-03-17 00:00:00
2597,15763665.0,833,1,2,28,3,136674.51,2,0,0,5278.78,0,2019-12-06 00:00:00
2598,15668818.0,592,2,2,40,6,200322.45,1,1,1,113244.73,0,2017-07-12 00:00:00
2599,15765812.0,587,2,1,48,3,0.0,2,1,1,8908.0,0,2019-09-24 00:00:00
2600,15704844.0,550,2,1,62,5,80927.56,1,0,1,64490.67,0,2017-09-23 00:00:00
2601,15744582.0,680,1,2,24,5,0.0,3,1,0,154971.63,1,2018-03-13 00:00:00
2602,15616700.0,622,2,2,41,3,0.0,2,1,1,155786.39,0,2019-11-05 00:00:00
2603,15683521.0,594,3,1,28,5,142574.71,2,1,0,129084.82,0,2017-09-27 00:00:00
2604,15583049.0,643,3,2,34,6,160426.07,1,0,1,188533.11,0,2017-01-23 00:00:00
2605,15643752.0,540,1,1,25,5,116160.23,1,1,0,13411.67,0,2018-09-07 00:00:00
2606,15620398.0,635,2,2,34,4,98683.47,2,1,0,15733.19,0,2019-07-23 00:00:00
2607,15715707.0,657,1,1,32,4,118829.03,2,1,1,73127.61,0,2019-07-15 00:00:00
2608,15814209.0,814,1,1,31,4,118870.92,1,1,0,101704.19,0,2019-08-29 00:00:00
2609,15733768.0,600,1,1,32,6,0.0,1,1,1,101986.16,0,2017-05-17 00:00:00
2610,15755242.0,682,1,2,46,5,0.0,1,1,1,114442.66,0,2017-12-11 00:00:00
2611,15729412.0,682,1,1,38,4,107192.38,1,1,1,15669.17,0,2019-04-18 00:00:00
2612,15746564.0,566,1,1,42,7,108010.78,1,1,1,157486.1,0,2016-07-15 00:00:00
2613,15588446.0,550,2,1,34,4,0.0,2,0,0,131281.28,0,2018-12-27 00:00:00
2614,15665221.0,630,1,1,26,4,129837.72,2,0,1,197001.15,0,2019-09-06 00:00:00
2615,15640846.0,546,3,2,58,5,106458.31,4,1,0,128881.87,1,2017-11-05 00:00:00
2616,15700209.0,486,1,1,63,6,97009.15,1,1,1,85101.0,0,2016-11-30 00:00:00
2617,15658360.0,762,2,1,35,6,122929.42,2,0,0,149822.04,0,2017-06-20 00:00:00
2618,15602735.0,692,3,1,45,5,152296.83,4,0,1,108040.86,1,2018-08-11 00:00:00
2619,15724834.0,498,1,2,30,5,0.0,2,0,0,135795.53,0,2018-03-16 00:00:00
2620,15800062.0,850,2,1,49,4,0.0,1,0,0,25867.67,1,2019-03-01 00:00:00
2621,15685300.0,603,1,1,35,7,128993.76,2,1,0,130483.56,0,2016-09-10 00:00:00
2622,15760102.0,551,1,2,36,4,0.0,1,1,0,183479.12,0,2019-03-08 00:00:00
2623,15787026.0,627,3,1,27,3,185267.45,2,1,1,77027.34,0,2019-12-19 00:00:00
2624,15653696.0,515,1,2,28,7,0.0,2,0,0,94141.75,0,2016-06-25 00:00:00
2625,15788946.0,605,2,2,29,7,116805.82,1,0,0,4092.75,0,2016-07-12 00:00:00
2626,15600724.0,567,3,1,29,6,129750.68,1,1,0,109257.59,0,2016-11-29 00:00:00
2627,15574324.0,568,3,2,29,5,129177.01,2,0,1,104617.99,0,2017-12-12 00:00:00
2628,15707144.0,571,3,1,25,4,82506.72,2,1,0,167705.07,0,2019-04-18 00:00:00
2629,15775891.0,634,3,1,48,7,107247.69,1,1,1,103712.05,1,2016-08-16 00:00:00
2630,15711789.0,768,2,2,42,4,0.0,1,0,0,161242.99,1,2019-06-02 00:00:00
2631,15600879.0,554,3,2,36,3,157780.93,2,1,0,6089.13,0,2019-11-27 00:00:00
2632,15681196.0,629,1,1,35,4,172170.36,1,1,1,159777.37,0,2019-04-12 00:00:00
2633,15716000.0,638,2,1,48,4,0.0,2,1,1,7919.08,0,2019-09-13 00:00:00
2634,15766776.0,576,1,1,41,6,0.0,1,1,1,188274.6,0,2017-01-07 00:00:00
2635,15680278.0,661,2,2,42,5,75361.44,1,1,0,27608.12,1,2017-12-30 00:00:00
2636,15688637.0,592,1,2,27,5,0.0,2,1,1,183569.25,0,2018-05-05 00:00:00
2637,15591179.0,702,2,1,30,4,0.0,2,1,1,145537.32,0,2019-05-19 00:00:00
2638,15677435.0,647,1,2,29,4,98263.46,2,1,0,164717.95,0,2019-07-15 00:00:00
2639,15698619.0,593,1,1,43,6,0.0,2,1,1,76357.43,0,2017-07-19 00:00:00
2640,15581036.0,712,3,2,40,5,109308.79,2,1,0,120158.72,1,2018-07-07 00:00:00
2641,15622117.0,625,2,2,31,7,0.0,2,1,0,151843.54,0,2016-08-19 00:00:00
2642,15599301.0,538,3,2,28,4,164365.44,1,0,1,5698.97,0,2018-11-26 00:00:00
2643,15581548.0,637,2,2,22,4,98800.0,1,1,0,122865.55,0,2019-04-22 00:00:00
2644,15586870.0,632,1,1,27,4,193125.85,1,1,1,152665.85,0,2019-04-14 00:00:00
2645,15735263.0,736,1,1,27,5,51522.75,1,0,1,192131.77,0,2018-09-07 00:00:00
2646,15765322.0,755,1,1,23,4,84284.48,2,1,1,62851.6,0,2018-10-02 00:00:00
2647,15582944.0,425,2,2,39,4,0.0,2,1,0,140941.47,0,2019-08-01 00:00:00
2648,15687162.0,461,1,1,51,6,119889.84,1,0,0,56767.67,1,2016-10-26 00:00:00
2649,15644962.0,745,1,1,21,4,137910.45,1,1,1,177235.23,0,2018-12-20 00:00:00
2650,15612615.0,616,1,2,37,5,0.0,2,1,0,86242.18,0,2018-04-14 00:00:00
2651,15813439.0,587,1,1,33,4,100116.82,1,1,0,34215.58,0,2018-11-29 00:00:00
2652,15604544.0,850,3,1,40,3,166082.15,2,0,1,44406.17,0,2019-11-09 00:00:00
2653,15761348.0,601,1,2,38,5,0.0,2,1,0,165196.65,0,2017-09-27 00:00:00
2654,15785078.0,730,2,1,26,5,0.0,1,1,0,34542.41,0,2017-12-26 00:00:00
2655,15759874.0,532,1,1,44,7,148595.55,1,1,0,74838.64,1,2016-05-12 00:00:00
2656,15643658.0,850,3,1,53,6,94078.97,2,1,0,36980.54,0,2016-11-26 00:00:00
2657,15713267.0,779,2,2,34,4,0.0,2,0,1,111676.63,0,2019-09-05 00:00:00
2658,15737782.0,562,1,1,29,4,0.0,1,1,1,25858.68,0,2018-12-05 00:00:00
2659,15815490.0,670,3,1,40,6,164948.98,3,0,0,177028.0,1,2017-08-28 00:00:00
